"","Label","Plate.x","Repeat.x","Type.x","Time.x","Absorbance_all","Plate.y","Repeat.y","Well","Type.y","Time.y","A"
"270","N54",1,1,"M","00:00:36.04",0.107,3,1,"B01","M","00:00:32.12",1.104
"271","N55",1,1,"M","00:01:17.15",0.081,3,1,"E07","M","00:01:16.78",1.101
"272","N55",1,1,"M","00:01:17.15",0.081,3,1,"E08","M","00:01:17.67",1.058
"273","N55",1,1,"M","00:01:17.15",0.081,3,1,"E09","M","00:01:18.56",1.146
"274","N55",1,1,"M","00:01:18.04",0.078,3,1,"E07","M","00:01:16.78",1.101
"275","N55",1,1,"M","00:01:18.04",0.078,3,1,"E08","M","00:01:17.67",1.058
"276","N55",1,1,"M","00:01:18.04",0.078,3,1,"E09","M","00:01:18.56",1.146
"277","N55",1,1,"M","00:01:18.93",0.077,3,1,"E07","M","00:01:16.78",1.101
"278","N55",1,1,"M","00:01:18.93",0.077,3,1,"E08","M","00:01:17.67",1.058
"279","N55",1,1,"M","00:01:18.93",0.077,3,1,"E09","M","00:01:18.56",1.146
"280","N56",1,1,"M","00:00:40.49",0.098,3,1,"B07","M","00:00:37.45",0.771
"281","N56",1,1,"M","00:00:40.49",0.098,3,1,"B08","M","00:00:38.34",0.817
"282","N56",1,1,"M","00:00:40.49",0.098,3,1,"B09","M","00:00:39.23",0.856
"283","N56",1,1,"M","00:00:41.37",0.109,3,1,"B07","M","00:00:37.45",0.771
"284","N56",1,1,"M","00:00:41.37",0.109,3,1,"B08","M","00:00:38.34",0.817
"285","N56",1,1,"M","00:00:41.37",0.109,3,1,"B09","M","00:00:39.23",0.856
"286","N56",1,1,"M","00:00:42.26",0.108,3,1,"B07","M","00:00:37.45",0.771
"287","N56",1,1,"M","00:00:42.26",0.108,3,1,"B08","M","00:00:38.34",0.817
"288","N56",1,1,"M","00:00:42.26",0.108,3,1,"B09","M","00:00:39.23",0.856
"289","N57",2,1,"M","00:00:58.01",0.021,3,1,"C05","M","00:00:48.78",0.774
