"","Plate","Repeat","Well","Type","Time","A","Label"
"125",1,2,"D08","M","00:05:38.86",0.15,"T56"
"126",1,2,"D09","M","00:05:39.75",0.14,"T56"
"127",1,2,"D10","M","00:05:40.64",0.177,"X44"
"128",1,2,"D11","M","00:05:41.53",0.189,"X44"
"129",1,2,"D12","M","00:05:42.42",0.176,"X44"
"130",1,2,"E01","M","00:05:45.75",0.378,"R47"
"131",1,2,"E02","M","00:05:46.64",0.342,"R47"
"132",1,2,"E03","M","00:05:47.53",0.342,"R47"
"133",1,2,"E04","M","00:05:48.42",0.121,"N45"
"134",1,2,"E05","M","00:05:49.31",0.139,"N45"
"135",1,2,"E06","M","00:05:50.20",0.131,"N45"
"136",1,2,"E07","M","00:05:51.09",0.214,"N44"
"137",1,2,"E08","M","00:05:51.97",0.202,"N44"
"138",1,2,"E09","M","00:05:52.86",0.205,"N44"
"139",1,2,"E10","M","00:05:53.75",0.247,"X43"
"140",1,2,"E11","M","00:05:54.64",0.244,"X43"
"141",1,2,"E12","M","00:05:55.53",0.235,"X43"
"142",1,2,"F01","M","00:05:58.86",0.165,"M47"
"143",1,2,"F02","M","00:05:59.75",0.154,"M47"
"144",1,2,"F03","M","00:06:00.64",0.154,"M47"
"145",1,2,"F04","M","00:06:01.53",0.461,"T58"
"146",1,2,"F05","M","00:06:02.42",0.459,"T58"
"147",1,2,"F06","M","00:06:03.31",0.435,"T58"
"148",1,2,"F07","M","00:06:04.20",0.183,"N46"
"149",1,2,"F08","M","00:06:05.09",0.156,"N46"
"150",1,2,"F09","M","00:06:05.97",0.166,"N46"
"151",1,2,"F10","M","00:06:06.86",0.728,"T61"
"152",1,2,"F11","M","00:06:07.75",0.875,"T61"
"153",1,2,"F12","M","00:06:08.64",0.67,"T61"
"154",1,2,"G01","M","00:06:11.98",0.223,"D59"
"155",1,2,"G02","M","00:06:12.86",0.207,"D59"
"156",1,2,"G03","M","00:06:13.75",0.206,"D59"
"157",1,2,"G04","M","00:06:14.64",0.082,"POS"
"158",1,2,"G05","M","00:06:15.53",0.083,"POS"
"159",1,2,"G06","M","00:06:16.42",0.084,"POS"
"160",1,2,"G07","M","00:06:17.31",0.129,"BCKGRD"
"161",1,2,"G08","M","00:06:18.20",0.106,"BCKGRD"
"162",1,2,"G09","M","00:06:19.09",0.199,"BCKGRD"
"163",1,3,"A01","M","00:09:28.24",0.074,"0"
"164",1,3,"A02","M","00:09:29.14",0.076,"8"
"165",1,3,"A03","M","00:09:30.03",0.1,"16"
"166",1,3,"A04","M","00:09:30.92",0.149,"24"
"167",1,3,"A05","M","00:09:31.80",0.232,"32"
"168",1,3,"A06","M","00:09:32.69",0.331,"40"
"169",1,3,"A07","M","00:09:33.58",0.153,"R46"
"170",1,3,"A08","M","00:09:34.47",0.151,"R46"
"171",1,3,"A09","M","00:09:35.36",0.15,"R46"
"172",1,3,"A10","M","00:09:36.25",0.168,"M89"
"173",1,3,"A11","M","00:09:37.14",0.172,"M89"
"174",1,3,"A12","M","00:09:38.03",0.166,"M89"
"175",1,3,"B01","M","00:09:41.36",0.167,"M41"
"176",1,3,"B02","M","00:09:42.25",0.18,"M41"
"177",1,3,"B03","M","00:09:43.14",0.167,"M41"
"178",1,3,"B04","M","00:09:44.03",0.155,"D55"
"179",1,3,"B05","M","00:09:44.91",0.171,"D55"
"180",1,3,"B06","M","00:09:45.80",0.154,"D55"
"181",1,3,"B07","M","00:09:46.69",0.159,"D56"
"182",1,3,"B08","M","00:09:47.58",0.193,"D56"
"183",1,3,"B09","M","00:09:48.47",0.096,"D56"
"184",1,3,"B10","M","00:09:49.36",0.226,"X42"
"185",1,3,"B11","M","00:09:50.25",0.204,"X42"
"186",1,3,"B12","M","00:09:51.14",0.205,"X42"
"187",1,3,"C01","M","00:09:54.47",0.221,"T62"
"188",1,3,"C02","M","00:09:55.36",0.218,"T62"
"189",1,3,"C03","M","00:09:56.25",0.219,"T62"
"190",1,3,"C04","M","00:09:57.14",0.425,"T59"
"191",1,3,"C05","M","00:09:58.03",0.405,"T59"
"192",1,3,"C06","M","00:09:58.91",0.431,"T59"
"193",1,3,"C07","M","00:09:59.80",0.158,"D58"
"194",1,3,"C08","M","00:10:00.69",0.144,"D58"
"195",1,3,"C09","M","00:10:01.58",0.157,"D58"
"196",1,3,"C10","M","00:10:02.47",0.228,"R50"
"197",1,3,"C11","M","00:10:03.36",0.232,"R50"
"198",1,3,"C12","M","00:10:04.25",0.236,"R50"
"199",1,3,"D01","M","00:10:07.58",0.302,"R42"
"200",1,3,"D02","M","00:10:08.47",0.323,"R42"
"201",1,3,"D03","M","00:10:09.36",0.298,"R42"
"202",1,3,"D04","M","00:10:10.25",0.208,"R48"
"203",1,3,"D05","M","00:10:11.14",0.171,"R48"
"204",1,3,"D06","M","00:10:12.03",0.183,"R48"
"205",1,3,"D07","M","00:10:12.91",0.14,"T56"
"206",1,3,"D08","M","00:10:13.80",0.154,"T56"
"207",1,3,"D09","M","00:10:14.69",0.143,"T56"
"208",1,3,"D10","M","00:10:15.58",0.181,"X44"
"209",1,3,"D11","M","00:10:16.47",0.188,"X44"
"210",1,3,"D12","M","00:10:17.36",0.178,"X44"
"211",1,3,"E01","M","00:10:20.69",0.378,"R47"
"212",1,3,"E02","M","00:10:21.58",0.343,"R47"
"213",1,3,"E03","M","00:10:22.47",0.342,"R47"
"214",1,3,"E04","M","00:10:23.36",0.123,"N45"
"215",1,3,"E05","M","00:10:24.25",0.139,"N45"
"216",1,3,"E06","M","00:10:25.14",0.133,"N45"
"217",1,3,"E07","M","00:10:26.03",0.216,"N44"
"218",1,3,"E08","M","00:10:26.91",0.204,"N44"
"219",1,3,"E09","M","00:10:27.80",0.207,"N44"
"220",1,3,"E10","M","00:10:28.69",0.25,"X43"
"221",1,3,"E11","M","00:10:29.58",0.246,"X43"
"222",1,3,"E12","M","00:10:30.47",0.236,"X43"
"223",1,3,"F01","M","00:10:33.80",0.17,"M47"
"224",1,3,"F02","M","00:10:34.69",0.156,"M47"
"225",1,3,"F03","M","00:10:35.58",0.155,"M47"
"226",1,3,"F04","M","00:10:36.47",0.46,"T58"
"227",1,3,"F05","M","00:10:37.36",0.458,"T58"
"228",1,3,"F06","M","00:10:38.25",0.434,"T58"
"229",1,3,"F07","M","00:10:39.14",0.186,"N46"
"230",1,3,"F08","M","00:10:40.03",0.157,"N46"
"231",1,3,"F09","M","00:10:40.91",0.167,"N46"
"232",1,3,"F10","M","00:10:41.80",0.734,"T61"
"233",1,3,"F11","M","00:10:42.69",0.868,"T61"
"234",1,3,"F12","M","00:10:43.58",0.671,"T61"
"235",1,3,"G01","M","00:10:46.92",0.226,"D59"
"236",1,3,"G02","M","00:10:47.80",0.21,"D59"
"237",1,3,"G03","M","00:10:48.69",0.21,"D59"
"238",1,3,"G04","M","00:10:49.58",0.083,"POS"
"239",1,3,"G05","M","00:10:50.47",0.084,"POS"
"240",1,3,"G06","M","00:10:51.36",0.085,"POS"
"241",1,3,"G07","M","00:10:52.25",0.13,"BCKGRD"
"242",1,3,"G08","M","00:10:53.14",0.103,"BCKGRD"
"243",1,3,"G09","M","00:10:54.03",0.198,"BCKGRD"
"244",1,4,"A01","M","00:14:03.18",0.074,"0"
"245",1,4,"A02","M","00:14:04.08",0.076,"8"
"246",1,4,"A03","M","00:14:04.97",0.093,"16"
"247",1,4,"A04","M","00:14:05.85",0.131,"24"
"248",1,4,"A05","M","00:14:06.74",0.205,"32"
"249",1,4,"A06","M","00:14:07.63",0.297,"40"
"250",1,4,"A07","M","00:14:08.52",0.156,"R46"
"251",1,4,"A08","M","00:14:09.41",0.165,"R46"
"252",1,4,"A09","M","00:14:10.30",0.151,"R46"
"253",1,4,"A10","M","00:14:11.19",0.167,"M89"
"254",1,4,"A11","M","00:14:12.08",0.175,"M89"
"255",1,4,"A12","M","00:14:12.97",0.168,"M89"
"256",1,4,"B01","M","00:14:16.30",0.168,"M41"
"257",1,4,"B02","M","00:14:17.19",0.182,"M41"
"258",1,4,"B03","M","00:14:18.08",0.17,"M41"
"259",1,4,"B04","M","00:14:18.97",0.157,"D55"
"260",1,4,"B05","M","00:14:19.85",0.169,"D55"
"261",1,4,"B06","M","00:14:20.74",0.157,"D55"
"262",1,4,"B07","M","00:14:21.63",0.159,"D56"
"263",1,4,"B08","M","00:14:22.52",0.188,"D56"
"264",1,4,"B09","M","00:14:23.41",0.095,"D56"
"265",1,4,"B10","M","00:14:24.30",0.226,"X42"
"266",1,4,"B11","M","00:14:25.19",0.205,"X42"
"267",1,4,"B12","M","00:14:26.08",0.207,"X42"
"268",1,4,"C01","M","00:14:29.41",0.224,"T62"
"269",1,4,"C02","M","00:14:30.30",0.219,"T62"
"270",1,4,"C03","M","00:14:31.19",0.221,"T62"
